PROGRAMA;nombre;cedula;EDAD_DE_INGRESO;Actualmente_trabaja;Tipo_de_población_a_la_que_pertenece;SEXO;ESTADO_CIVIL;¿Cómo_financia_sus_estudios?;CIRCUNSCRIPCION;¿Dispone_de_un_computador_permanentemente?;¿Posee_conexión_permanente_a_internet?;ESTRATO
MERCADEO;Alex Ortiz Heredia;592311586;19;Sí;Rural;F;Unión Libre;Crédito;REGULAR PREGRADO;Sí;No;4
LICENCIATURA EN EDUCACIÓN INFANTIL;Víctor Fuertes Espejo;89690985;35;No;Rural;F;Casado;Familia;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;No;2
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Jerónimo del Feijoo;242417791;24;No;Urbana;F;Madre soltera;Familia;COMUNIDAD NEGRA;Sí;No;1
LICENCIATURA EN PEDAGOGÍA INFANTIL;Rubén Barranco Antúnez;45941358;40;No;Urbana;M;Soltero;Recursos Propios;COMUNIDAD NEGRA;No;No;3
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Fermín Quirós-Pont;47053040;33;No;Urbana;F;Casado;Crédito;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;No;5
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Eutimio Carballo Trillo;676731916;20;Sí;Rural;M;Divorciado;Recursos Propios;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;No;5
MERCADEO;Violeta Villalba Gonzalez;949397361;48;Sí;Rural;M;Soltero;Beca;REGULAR PREGRADO;No;No;2
LICENCIATURA EN EDUCACIÓN INFANTIL;Abel Checa Mateos;430133753;51;Sí;Urbana;M;Divorciado;Beca;PUEBLO INDIGENA;Sí;Sí;2
ADMINISTRACIÓN FINANCIERA;Rogelio Cueto Ojeda;403569298;16;Sí;Urbana;M;Divorciado;Beca;PUEBLO INDIGENA;No;No;4
LICENCIATURA EN PEDAGOGÍA INFANTIL;Jafet Garmendia-Agullo;630047511;54;No;Rural;M;Religioso;Familia;DESPLAZADO;No;No;2
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Maricela del Rodríguez;290039601;40;Sí;Rural;F;Unión Libre;Beca;REGULAR PREGRADO;No;No;2
MERCADEO;Andrés Cristian Benet Tenorio;472014688;22;Sí;Urbana;F;Unión Libre;Recursos Propios;COMUNIDAD NEGRA;No;No;5
ADMINISTRACIÓN FINANCIERA;Ildefonso Adelardo Morales Sandoval;317488715;24;No;Urbana;F;Casado;Beca;REGULAR PREGRADO;No;No;3
MERCADEO;Alonso Cantón Santana;397745160;41;Sí;Rural;M;Madre soltera;Recursos Propios;REGULAR PREGRADO;No;Sí;3
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Lucas Vall Riera;680648436;32;No;Urbana;M;Unión Libre;Beca;REGULAR PREGRADO;No;No;4
MERCADEO;Clotilde Pardo Ortuño;797606644;26;Sí;Rural;F;Divorciado;Beca;REGULAR PREGRADO;No;No;1
ADMINISTRACIÓN FINANCIERA;Chuy Falcó Morán;911956835;42;Sí;Rural;F;Soltero;Crédito;PUEBLO INDIGENA;No;Sí;1
MERCADEO;Eloy Perelló;49528126;51;No;Urbana;F;Unión Libre;Beca;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;Sí;1
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Marcos Torre Cáceres;368078678;18;No;Urbana;F;Madre soltera;Crédito;DESPLAZADO;No;Sí;3
MERCADEO;Lina Hervia Ribera;816264920;16;No;Rural;M;Religioso;Recursos Propios;REGULAR PREGRADO;No;Sí;4
LICENCIATURA EN EDUCACIÓN INFANTIL;Evita de Taboada;797636255;43;Sí;Rural;M;Unión Libre;Familia;REGULAR PREGRADO;No;No;5
TECNOLOGÍA EN CRIMINALISTICA;Pía Taboada Montoya;889366096;32;No;Urbana;F;Divorciado;Recursos Propios;DESPLAZADO;No;No;1
LICENCIATURA EN PEDAGOGÍA INFANTIL;Oriana Castejón Cañete;812152617;52;No;Rural;M;Soltero;Crédito;PUEBLO INDIGENA;No;Sí;1
TECNOLOGÍA EN CRIMINALISTICA;Jorge Gallart Castejón;379723766;20;Sí;Urbana;M;Divorciado;Familia;REGULAR PREGRADO;Sí;Sí;3
ADMINISTRACIÓN FINANCIERA;Rosa Clementina Alcántara Uribe;328068591;21;Sí;Rural;M;Madre soltera;Crédito;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;Sí;3
MERCADEO;Liliana Bermudez Pintor;394926644;27;Sí;Rural;M;Soltero;Recursos Propios;REGULAR PREGRADO;No;Sí;3
TECNOLOGÍA EN CRIMINALISTICA;Juanito Codina Pellicer;452162230;50;No;Urbana;F;Religioso;Recursos Propios;DESPLAZADO;Sí;Sí;5
TECNOLOGÍA EN CRIMINALISTICA;Javiera Pozuelo-Blasco;426233232;45;No;Urbana;F;Casado;Crédito;PUEBLO INDIGENA;Sí;Sí;3
LICENCIATURA EN EDUCACIÓN INFANTIL;Clarisa Tejedor Beltran;426256194;29;No;Urbana;F;Divorciado;Beca;DESPLAZADO;Sí;Sí;4
LICENCIATURA EN EDUCACIÓN INFANTIL;Clotilde de Solé;674343183;19;Sí;Urbana;F;Soltero;Familia;COMUNIDAD NEGRA;No;No;1
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Teófilo Alberto Urrutia;162028101;30;Sí;Rural;M;Divorciado;Crédito;COMUNIDAD NEGRA;Sí;No;1
MERCADEO;Armida Asensio Casal;666413850;32;Sí;Rural;F;Casado;Beca;REGULAR PREGRADO;No;No;3
LICENCIATURA EN EDUCACIÓN INFANTIL;Abraham de Benet;439276793;45;Sí;Rural;M;Divorciado;Crédito;REGULAR PREGRADO;Sí;No;4
ADMINISTRACIÓN FINANCIERA;Micaela de Perez;984873080;27;No;Urbana;M;Soltero;Crédito;COMUNIDAD NEGRA;No;No;3
MERCADEO;Manola Blanco Arribas;359427974;16;No;Urbana;F;Madre soltera;Crédito;DESPLAZADO;No;Sí;3
LICENCIATURA EN PEDAGOGÍA INFANTIL;Adriana Cañete Galindo;200016748;17;Sí;Urbana;F;Divorciado;Crédito;COMUNIDAD NEGRA;No;Sí;2
ADMINISTRACIÓN FINANCIERA;Rosaura Moliner Royo;705496528;39;Sí;Rural;M;Unión Libre;Familia;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;No;2
LICENCIATURA EN EDUCACIÓN INFANTIL;Aránzazu Peña-Manrique;643288447;29;Sí;Rural;F;Unión Libre;Familia;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;No;2
LICENCIATURA EN EDUCACIÓN INFANTIL;Vilma Cámara Cortina;625712952;30;No;Urbana;F;Religioso;Beca;REGULAR PREGRADO;Sí;No;1
MERCADEO;Lucas Esteve Nuñez;937583866;17;Sí;Rural;M;Unión Libre;Crédito;DESPLAZADO;Sí;Sí;4
LICENCIATURA EN EDUCACIÓN INFANTIL;Jose Carlos Pozuelo;725297966;32;Sí;Rural;M;Unión Libre;Recursos Propios;REGULAR PREGRADO;No;Sí;5
ADMINISTRACIÓN FINANCIERA;Nilda Escrivá Carro;540109407;41;Sí;Urbana;F;Soltero;Familia;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;No;2
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Jose Francisco Barral Font;100423622;24;Sí;Urbana;F;Religioso;Recursos Propios;REGULAR PREGRADO;No;Sí;4
TECNOLOGÍA EN CRIMINALISTICA;Roldán Castañeda Lucas;658419772;27;No;Urbana;F;Divorciado;Beca;DESPLAZADO;No;Sí;5
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Alondra Sotelo Ribas;305815282;36;Sí;Urbana;F;Soltero;Beca;REGULAR PREGRADO;No;Sí;4
MERCADEO;Reinaldo Ferrández;643241081;16;No;Rural;F;Madre soltera;Recursos Propios;DESPLAZADO;No;No;3
LICENCIATURA EN EDUCACIÓN INFANTIL;Florentino Varela-Amador;297675305;26;Sí;Urbana;F;Soltero;Familia;REGULAR PREGRADO;No;No;2
MERCADEO;Zaida Pellicer-Goicoechea;923102532;38;Sí;Rural;M;Casado;Familia;PUEBLO INDIGENA;Sí;Sí;1
LICENCIATURA EN EDUCACIÓN INFANTIL;Elena Peral Torrens;166952243;51;Sí;Urbana;M;Divorciado;Beca;COMUNIDAD NEGRA;Sí;No;2
LICENCIATURA EN PEDAGOGÍA INFANTIL;Lucila Mosquera Camino;171879090;53;No;Rural;M;Casado;Recursos Propios;DESPLAZADO;No;Sí;4
ADMINISTRACIÓN FINANCIERA;Isaías Nacho Coronado Pardo;884510483;26;No;Urbana;M;Religioso;Crédito;REGULAR PREGRADO;No;No;3
LICENCIATURA EN PEDAGOGÍA INFANTIL;Miriam del Medina;232356715;24;Sí;Urbana;F;Madre soltera;Crédito;DESPLAZADO;No;No;1
TECNOLOGÍA EN CRIMINALISTICA;Virginia Ribes-Blanes;180666330;24;No;Rural;F;Soltero;Beca;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;Sí;1
TECNOLOGÍA EN CRIMINALISTICA;Amaro Pelayo-Campo;581393852;46;Sí;Rural;M;Religioso;Crédito;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;No;1
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Clementina del Velasco;684868227;19;No;Rural;F;Religioso;Recursos Propios;DESPLAZADO;No;Sí;5
LICENCIATURA EN PEDAGOGÍA INFANTIL;Elba Perla Gascón Avilés;806011593;16;No;Urbana;F;Religioso;Familia;PUEBLO INDIGENA;No;No;5
TECNOLOGÍA EN CRIMINALISTICA;Mayte Graciela Páez Ortega;540854773;45;No;Rural;F;Unión Libre;Crédito;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;Sí;1
ADMINISTRACIÓN FINANCIERA;Amalia Romeu;337044461;22;Sí;Rural;M;Soltero;Familia;COMUNIDAD NEGRA;No;No;4
ADMINISTRACIÓN FINANCIERA;Amaro Ávila Serna;81748953;45;Sí;Rural;M;Religioso;Recursos Propios;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;Sí;3
LICENCIATURA EN EDUCACIÓN INFANTIL;Emigdio Villalba Peláez;398273452;47;No;Urbana;M;Casado;Recursos Propios;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;Sí;4
LICENCIATURA EN EDUCACIÓN INFANTIL;Marianela del Iniesta;550440643;27;Sí;Rural;M;Unión Libre;Beca;COMUNIDAD NEGRA;No;Sí;5
MERCADEO;Zaira Roca Artigas;573376401;27;Sí;Rural;F;Unión Libre;Recursos Propios;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;No;3
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Leonor Barrera-Atienza;968337159;29;No;Rural;F;Casado;Crédito;PUEBLO INDIGENA;Sí;No;1
LICENCIATURA EN PEDAGOGÍA INFANTIL;Soledad Plana Paniagua;465332340;28;Sí;Rural;F;Unión Libre;Beca;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;No;2
TECNOLOGÍA EN CRIMINALISTICA;Octavia Solé Peñas;476858858;27;Sí;Urbana;F;Divorciado;Crédito;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;Sí;1
ADMINISTRACIÓN FINANCIERA;Petrona Valls Cueto;611644405;38;Sí;Rural;M;Soltero;Beca;REGULAR PREGRADO;No;Sí;5
TECNOLOGÍA EN CRIMINALISTICA;Rocío Chacón Arnal;221560777;50;Sí;Urbana;M;Soltero;Familia;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;No;1
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Caridad Solé Cerro;478326087;51;Sí;Urbana;M;Casado;Recursos Propios;COMUNIDAD NEGRA;No;No;1
TECNOLOGÍA EN CRIMINALISTICA;Candelaria Larrañaga Tejada;143640321;23;Sí;Rural;M;Madre soltera;Beca;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;No;2
ADMINISTRACIÓN FINANCIERA;Lucho Hervia Múgica;623875209;20;No;Rural;F;Madre soltera;Crédito;COMUNIDAD NEGRA;Sí;Sí;4
LICENCIATURA EN EDUCACIÓN INFANTIL;Jerónimo Oller Díez;91217830;38;Sí;Rural;F;Unión Libre;Crédito;DESPLAZADO;Sí;Sí;3
TECNOLOGÍA EN CRIMINALISTICA;Asdrubal Palomino Guerrero;234891913;51;No;Urbana;F;Soltero;Beca;COMUNIDAD NEGRA;Sí;Sí;4
TECNOLOGÍA EN CRIMINALISTICA;María Luisa Almeida Baños;132265782;50;Sí;Rural;F;Madre soltera;Crédito;COMUNIDAD NEGRA;No;Sí;2
LICENCIATURA EN EDUCACIÓN INFANTIL;Juliana del Noriega;544324973;17;Sí;Rural;M;Madre soltera;Crédito;PUEBLO INDIGENA;Sí;Sí;3
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Nazario Elorza Álvarez;98043230;32;No;Rural;M;Divorciado;Recursos Propios;COMUNIDAD NEGRA;No;Sí;2
MERCADEO;Quirino Cuevas Collado;956561637;30;No;Rural;M;Religioso;Familia;COMUNIDAD NEGRA;Sí;No;3
LICENCIATURA EN EDUCACIÓN INFANTIL;Rosaura Narváez Manso;805718690;21;Sí;Rural;M;Madre soltera;Recursos Propios;DESPLAZADO;Sí;Sí;5
MERCADEO;Consuelo Cabañas Borrell;906931675;54;Sí;Rural;F;Unión Libre;Crédito;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;Sí;2
TECNOLOGÍA EN CRIMINALISTICA;Jerónimo Valero Roldán;653357756;27;Sí;Urbana;M;Religioso;Recursos Propios;REGULAR PREGRADO;Sí;Sí;3
TECNOLOGÍA EN CRIMINALISTICA;Aarón Íñigo Angulo Lerma;867888135;52;No;Urbana;M;Casado;Beca;COMUNIDAD NEGRA;Sí;Sí;1
ADMINISTRACIÓN FINANCIERA;Javiera Rueda Pomares;921711570;37;No;Urbana;F;Divorciado;Beca;REGULAR PREGRADO;Sí;No;1
ADMINISTRACIÓN FINANCIERA;Ramiro Caballero Raya;491472770;52;No;Rural;F;Casado;Recursos Propios;COMUNIDAD NEGRA;No;Sí;4
ADMINISTRACIÓN FINANCIERA;Soledad Ureña Castrillo;382143035;23;No;Urbana;M;Casado;Beca;REGULAR PREGRADO;No;Sí;3
LICENCIATURA EN PEDAGOGÍA INFANTIL;Roque Blanch Berrocal;165128999;30;Sí;Urbana;F;Religioso;Crédito;PUEBLO INDIGENA;No;No;3
LICENCIATURA EN EDUCACIÓN INFANTIL;Rebeca Baños Gámez;796060299;20;No;Rural;F;Soltero;Familia;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;Sí;3
LICENCIATURA EN EDUCACIÓN INFANTIL;Norberto Taboada;341381664;18;Sí;Urbana;M;Soltero;Beca;COMUNIDAD NEGRA;Sí;No;1
LICENCIATURA EN PEDAGOGÍA INFANTIL;Crescencia Carreras Bejarano;185578759;54;No;Urbana;M;Casado;Beca;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;No;4
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Saturnino Inocencio Palacios Cózar;305504426;36;No;Rural;M;Unión Libre;Crédito;COMUNIDAD NEGRA;Sí;Sí;3
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Laura Odalis Guardiola Sanabria;272552442;43;Sí;Urbana;M;Soltero;Familia;PUEBLO INDIGENA;Sí;Sí;5
MERCADEO;Lupita Arjona Hernando;360215732;21;Sí;Urbana;F;Divorciado;Familia;PUEBLO INDIGENA;Sí;No;1
ADMINISTRACIÓN FINANCIERA;Raúl Navas;495564496;29;No;Urbana;F;Unión Libre;Familia;COMUNIDAD NEGRA;Sí;Sí;1
MERCADEO;Paulino Cuadrado Carlos;55810343;25;No;Urbana;F;Madre soltera;Familia;REGULAR PREGRADO;Sí;No;3
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Adelina Rosales Galvez;517625754;29;Sí;Rural;F;Madre soltera;Beca;DESPLAZADO;No;Sí;5
LICENCIATURA EN PEDAGOGÍA INFANTIL;Octavio Escamilla Aller;81179220;36;No;Urbana;M;Madre soltera;Beca;DESPLAZADO;No;Sí;3
LICENCIATURA EN EDUCACIÓN INFANTIL;Primitiva Flora Julián Río;292529313;40;Sí;Rural;M;Casado;Familia;COMUNIDAD NEGRA;Sí;Sí;2
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Amaya del Bárcena;820907432;16;Sí;Urbana;F;Soltero;Beca;COMUNIDAD NEGRA;No;Sí;1
LICENCIATURA EN PEDAGOGÍA INFANTIL;Adán Echevarría Seco;857858877;44;No;Urbana;M;Casado;Familia;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;No;4
LICENCIATURA EN PEDAGOGÍA INFANTIL;Angelita Mireia Lucena Ferrera;47091451;30;No;Urbana;M;Madre soltera;Crédito;PUEBLO INDIGENA;Sí;No;2
LICENCIATURA EN PEDAGOGÍA INFANTIL;Espiridión Guillen-Font;540893320;34;Sí;Rural;F;Religioso;Recursos Propios;REGULAR PREGRADO;No;No;4
MERCADEO;Ruben Huerta Núñez;493562462;35;No;Rural;M;Soltero;Beca;REGULAR PREGRADO;Sí;Sí;5
LICENCIATURA EN EDUCACIÓN INFANTIL;Gracia de Reyes;490047938;25;No;Urbana;M;Soltero;Recursos Propios;REGULAR PREGRADO;Sí;Sí;5
LICENCIATURA EN EDUCACIÓN INFANTIL;Matías Alcalde Ródenas;488570457;26;No;Urbana;F;Soltero;Familia;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;No;1
ADMINISTRACIÓN FINANCIERA;Susana Cuevas Batlle;216482283;44;No;Urbana;F;Casado;Crédito;COMUNIDAD NEGRA;No;Sí;4
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Rosaura Gallego Armas;970932934;25;Sí;Urbana;M;Madre soltera;Beca;DESPLAZADO;No;Sí;2
LICENCIATURA EN PEDAGOGÍA INFANTIL;Milagros Cáceres Ariño;476724188;46;No;Rural;M;Unión Libre;Beca;DESPLAZADO;Sí;Sí;4
TECNOLOGÍA EN CRIMINALISTICA;Arcelia Valero Arévalo;107996253;33;No;Rural;F;Casado;Recursos Propios;PUEBLO INDIGENA;Sí;No;4
TECNOLOGÍA EN CRIMINALISTICA;Germán Planas Sanjuan;229688911;20;Sí;Rural;M;Casado;Recursos Propios;REGULAR PREGRADO;No;Sí;3
LICENCIATURA EN PEDAGOGÍA INFANTIL;Édgar Garriga Galindo;866749557;48;Sí;Rural;F;Religioso;Beca;DESPLAZADO;Sí;Sí;2
TECNOLOGÍA EN CRIMINALISTICA;Anselmo Calderón Uriarte;469991388;34;No;Urbana;F;Divorciado;Beca;PUEBLO INDIGENA;Sí;Sí;1
TECNOLOGÍA EN CRIMINALISTICA;Emiliano Collado Aguado;632754530;42;Sí;Urbana;M;Religioso;Crédito;COMUNIDAD NEGRA;Sí;Sí;3
ADMINISTRACIÓN FINANCIERA;Candelaria Amada Pinedo Sáenz;414687816;31;No;Rural;F;Religioso;Recursos Propios;PUEBLO INDIGENA;Sí;Sí;1
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Encarna Ribera Cal;920722782;50;Sí;Rural;F;Religioso;Familia;REGULAR PREGRADO;No;Sí;1
MERCADEO;Paulino Fabricio Mora Carmona;253257628;32;Sí;Urbana;F;Casado;Beca;COMUNIDAD NEGRA;Sí;No;4
TECNOLOGÍA EN CRIMINALISTICA;Flavia Mir Bou;6590024;29;No;Rural;M;Religioso;Beca;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;No;4
MERCADEO;Eugenio Soler-Mateos;599474530;28;Sí;Urbana;M;Unión Libre;Beca;PUEBLO INDIGENA;Sí;No;5
TECNOLOGÍA EN CRIMINALISTICA;Marcial Rogelio Jover Lozano;563621156;26;No;Urbana;M;Religioso;Familia;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;Sí;1
LICENCIATURA EN EDUCACIÓN INFANTIL;Teófilo Cazorla Palomares;298957351;53;No;Urbana;M;Soltero;Crédito;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;No;4
TECNOLOGÍA EN CRIMINALISTICA;Nico Galvez-Cabanillas;594072181;19;No;Rural;F;Casado;Crédito;REGULAR PREGRADO;Sí;No;4
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Mirta Perera Rosselló;819430037;37;No;Rural;F;Religioso;Familia;PUEBLO INDIGENA;Sí;Sí;4
TECNOLOGÍA EN CRIMINALISTICA;Liliana de León;733718339;41;No;Rural;M;Religioso;Beca;PUEBLO INDIGENA;Sí;Sí;1
MERCADEO;Nerea Puerta Arévalo;294702437;41;No;Urbana;M;Divorciado;Recursos Propios;DESPLAZADO;Sí;No;2
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Reina Benavente Tolosa;79229857;51;No;Rural;F;Casado;Beca;DESPLAZADO;Sí;Sí;3
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Felisa Pera-Varela;667642624;41;No;Urbana;F;Religioso;Recursos Propios;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;No;2
MERCADEO;Amalia Perales Abella;106728216;39;Sí;Rural;M;Madre soltera;Familia;REGULAR PREGRADO;Sí;Sí;3
TECNOLOGÍA EN CRIMINALISTICA;Olimpia Haydée Soriano Bustamante;774982051;20;No;Urbana;M;Religioso;Crédito;PUEBLO INDIGENA;No;Sí;2
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Felicidad Cabeza Gimeno;763559409;22;No;Urbana;F;Soltero;Familia;COMUNIDAD NEGRA;Sí;Sí;4
ADMINISTRACIÓN FINANCIERA;Vanesa Andres;193446674;32;Sí;Rural;M;Unión Libre;Familia;DESPLAZADO;No;No;4
ADMINISTRACIÓN FINANCIERA;Crescencia Benito Salinas;981278686;20;Sí;Rural;M;Soltero;Familia;REGULAR PREGRADO;No;Sí;1
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;José Ángel Eloy Calzada Canals;577186326;46;Sí;Rural;M;Divorciado;Familia;COMUNIDAD NEGRA;No;No;5
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Cruz Puente Sevilla;855488889;20;Sí;Urbana;M;Soltero;Crédito;PUEBLO INDIGENA;Sí;No;4
ADMINISTRACIÓN FINANCIERA;Juanito Roma Sarmiento;652242147;26;Sí;Rural;F;Casado;Recursos Propios;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;No;4
MERCADEO;Rosaura Serna Martí;3135762;21;Sí;Rural;F;Casado;Recursos Propios;PUEBLO INDIGENA;Sí;Sí;1
TECNOLOGÍA EN CRIMINALISTICA;Eliseo Comas;621218217;28;Sí;Rural;M;Soltero;Recursos Propios;DESPLAZADO;Sí;Sí;5
MERCADEO;Tiburcio Palma Aguirre;773317869;33;Sí;Rural;F;Madre soltera;Beca;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;Sí;4
TECNOLOGÍA EN CRIMINALISTICA;Fortunato Infante Muro;917882956;49;Sí;Rural;F;Divorciado;Recursos Propios;DESPLAZADO;Sí;No;3
TECNOLOGÍA EN CRIMINALISTICA;Anselmo Cándido Anguita Noguera;351705415;43;Sí;Urbana;F;Madre soltera;Beca;DESPLAZADO;No;No;4
LICENCIATURA EN EDUCACIÓN INFANTIL;Begoña Maldonado;482347287;26;Sí;Rural;F;Divorciado;Crédito;REGULAR PREGRADO;Sí;No;5
MERCADEO;Rico del Casares;244943655;22;No;Urbana;M;Madre soltera;Recursos Propios;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;Sí;4
LICENCIATURA EN PEDAGOGÍA INFANTIL;Custodia de Gallart;442260038;53;Sí;Rural;M;Divorciado;Recursos Propios;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;No;5
LICENCIATURA EN PEDAGOGÍA INFANTIL;Cosme Dominguez Sobrino;705361554;24;No;Rural;F;Religioso;Crédito;PUEBLO INDIGENA;Sí;Sí;3
LICENCIATURA EN PEDAGOGÍA INFANTIL;Aitana Roldan-Rodrigo;561983233;53;Sí;Urbana;F;Religioso;Beca;DESPLAZADO;Sí;No;3
ADMINISTRACIÓN FINANCIERA;Alfonso del Bueno;995432677;49;No;Rural;F;Divorciado;Familia;PUEBLO INDIGENA;Sí;No;4
ADMINISTRACIÓN FINANCIERA;Reina Sevilla Segarra;466709463;24;No;Urbana;F;Soltero;Crédito;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;No;2
LICENCIATURA EN PEDAGOGÍA INFANTIL;José Belda Lasa;216908131;46;No;Rural;M;Unión Libre;Beca;COMUNIDAD NEGRA;Sí;No;2
TECNOLOGÍA EN CRIMINALISTICA;Morena Parra Chamorro;597147588;44;No;Urbana;F;Casado;Beca;REGULAR PREGRADO;No;No;3
TECNOLOGÍA EN CRIMINALISTICA;Ana Sofía Lluch Villar;584767431;51;No;Rural;M;Casado;Crédito;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;No;4
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Conrado Benavides Muro;942945743;20;No;Urbana;M;Casado;Recursos Propios;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;Sí;5
ADMINISTRACIÓN FINANCIERA;Guiomar Cabanillas-Sanchez;476479056;37;Sí;Rural;M;Divorciado;Beca;COMUNIDAD NEGRA;Sí;Sí;4
ADMINISTRACIÓN FINANCIERA;Heriberto Trinidad Marín Baena;525340660;22;No;Rural;M;Divorciado;Beca;COMUNIDAD NEGRA;Sí;No;5
MERCADEO;Narciso Jara Cabezas;881814772;21;Sí;Urbana;F;Casado;Crédito;DESPLAZADO;Sí;No;2
LICENCIATURA EN EDUCACIÓN INFANTIL;Maribel Farré Crespo;382495383;44;No;Rural;F;Soltero;Familia;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;No;2
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Amancio Sierra Benítez;801307510;54;No;Urbana;F;Madre soltera;Familia;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;No;5
MERCADEO;Amor Zamora Perea;118327433;42;No;Urbana;F;Soltero;Crédito;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;Sí;1
MERCADEO;Ambrosio Fabra-Donaire;251440552;40;Sí;Urbana;F;Divorciado;Recursos Propios;PUEBLO INDIGENA;No;Sí;1
ADMINISTRACIÓN FINANCIERA;Amaya Comas Bustos;641917321;27;Sí;Urbana;F;Soltero;Beca;REGULAR PREGRADO;No;No;3
TECNOLOGÍA EN CRIMINALISTICA;Chema Alvarado Castillo;533323977;27;Sí;Urbana;F;Soltero;Crédito;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;Sí;3
TECNOLOGÍA EN CRIMINALISTICA;Eloy Luque Fábregas;354168966;26;No;Rural;F;Unión Libre;Beca;DESPLAZADO;No;Sí;4
MERCADEO;Juan Manuel Josué Pérez Almansa;651662575;29;No;Rural;M;Soltero;Familia;REGULAR PREGRADO;No;No;1
MERCADEO;Carmen Nilda Santiago Becerra;939047622;39;Sí;Urbana;M;Soltero;Familia;REGULAR PREGRADO;No;Sí;5
LICENCIATURA EN EDUCACIÓN INFANTIL;Javiera del Beltrán;439358094;53;No;Rural;F;Unión Libre;Crédito;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;Sí;1
ADMINISTRACIÓN FINANCIERA;Eulalia Arrieta Lozano;618787390;50;Sí;Urbana;F;Divorciado;Beca;COMUNIDAD NEGRA;No;No;3
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Rolando Álvarez Guerra;754027909;34;No;Urbana;M;Casado;Familia;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;No;3
LICENCIATURA EN PEDAGOGÍA INFANTIL;Pacífica Ripoll Marqués;720122824;53;Sí;Rural;F;Unión Libre;Recursos Propios;PUEBLO INDIGENA;Sí;No;2
