PROGRAMA;nombre;cedula;EDAD_DE_INGRESO;Actualmente_trabaja;Tipo_de_población_a_la_que_pertenece;SEXO;ESTADO_CIVIL;¿Cómo_financia_sus_estudios?;CIRCUNSCRIPCION;¿Dispone_de_un_computador_permanentemente?;¿Posee_conexión_permanente_a_internet?;ESTRATO
TECNOLOGÍA EN CRIMINALISTICA;Jerónimo del Feijoo;630432728;19;Sí;Rural;F;Casado;Familia;PUEBLO INDIGENA;Sí;Sí;2
TECNOLOGÍA EN CRIMINALISTICA;Rubén Barranco Antúnez;296603246;39;Sí;Rural;F;Madre soltera;Crédito;REGULAR PREGRADO;Sí;No;2
LICENCIATURA EN EDUCACIÓN INFANTIL;Fermín Quirós-Pont;165283425;25;Sí;Urbana;M;Unión Libre;Crédito;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;No;2
ADMINISTRACIÓN FINANCIERA;Eutimio Carballo Trillo;492592751;24;Sí;Rural;M;Casado;Beca;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;Sí;4
TECNOLOGÍA EN CRIMINALISTICA;Violeta Villalba Gonzalez;573168719;37;Sí;Urbana;F;Divorciado;Recursos Propios;PUEBLO INDIGENA;Sí;Sí;1
LICENCIATURA EN PEDAGOGÍA INFANTIL;Abel Checa Mateos;219814112;44;Sí;Rural;F;Religioso;Recursos Propios;REGULAR PREGRADO;No;Sí;1
LICENCIATURA EN EDUCACIÓN INFANTIL;Rogelio Cueto Ojeda;57488580;35;No;Urbana;F;Madre soltera;Beca;DESPLAZADO;No;Sí;5
ADMINISTRACIÓN FINANCIERA;Jafet Garmendia-Agullo;261320179;32;Sí;Rural;F;Unión Libre;Crédito;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;No;1
LICENCIATURA EN PEDAGOGÍA INFANTIL;Maricela del Rodríguez;719344220;25;No;Urbana;F;Divorciado;Familia;DESPLAZADO;No;Sí;5
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Andrés Cristian Benet Tenorio;795801244;36;Sí;Rural;F;Religioso;Crédito;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;Sí;4
TECNOLOGÍA EN CRIMINALISTICA;Ildefonso Adelardo Morales Sandoval;985517221;54;Sí;Rural;M;Divorciado;Recursos Propios;DESPLAZADO;Sí;Sí;2
LICENCIATURA EN EDUCACIÓN INFANTIL;Alonso Cantón Santana;448069101;44;No;Urbana;F;Soltero;Crédito;PUEBLO INDIGENA;Sí;Sí;5
ADMINISTRACIÓN FINANCIERA;Lucas Vall Riera;767611037;37;Sí;Rural;M;Soltero;Beca;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;Sí;4
MERCADEO;Clotilde Pardo Ortuño;428492578;23;Sí;Rural;F;Casado;Familia;PUEBLO INDIGENA;No;Sí;4
LICENCIATURA EN PEDAGOGÍA INFANTIL;Chuy Falcó Morán;550669368;35;Sí;Urbana;F;Soltero;Recursos Propios;REGULAR PREGRADO;Sí;Sí;4
ADMINISTRACIÓN FINANCIERA;Eloy Perelló;269103890;25;No;Rural;F;Madre soltera;Beca;COMUNIDAD NEGRA;Sí;Sí;1
LICENCIATURA EN PEDAGOGÍA INFANTIL;Marcos Torre Cáceres;58963153;40;Sí;Rural;M;Unión Libre;Recursos Propios;COMUNIDAD NEGRA;Sí;No;4
MERCADEO;Lina Hervia Ribera;90535501;50;Sí;Rural;M;Madre soltera;Familia;COMUNIDAD NEGRA;Sí;Sí;1
ADMINISTRACIÓN FINANCIERA;Evita de Taboada;274522786;28;Sí;Rural;F;Unión Libre;Crédito;COMUNIDAD NEGRA;No;Sí;3
MERCADEO;Pía Taboada Montoya;707514965;43;No;Urbana;M;Soltero;Recursos Propios;REGULAR PREGRADO;Sí;No;3
LICENCIATURA EN PEDAGOGÍA INFANTIL;Oriana Castejón Cañete;117960631;39;Sí;Rural;M;Casado;Beca;PUEBLO INDIGENA;No;No;1
TECNOLOGÍA EN CRIMINALISTICA;Jorge Gallart Castejón;460408609;19;Sí;Rural;F;Casado;Recursos Propios;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;No;3
LICENCIATURA EN PEDAGOGÍA INFANTIL;Rosa Clementina Alcántara Uribe;214428111;21;Sí;Rural;M;Casado;Familia;PUEBLO INDIGENA;Sí;No;4
ADMINISTRACIÓN FINANCIERA;Liliana Bermudez Pintor;327223501;43;Sí;Rural;M;Casado;Beca;PUEBLO INDIGENA;Sí;Sí;4
ADMINISTRACIÓN FINANCIERA;Juanito Codina Pellicer;127276437;23;No;Urbana;F;Casado;Crédito;REGULAR PREGRADO;Sí;Sí;5
LICENCIATURA EN EDUCACIÓN INFANTIL;Javiera Pozuelo-Blasco;354795092;37;Sí;Urbana;F;Soltero;Familia;REGULAR PREGRADO;No;No;5
TECNOLOGÍA EN CRIMINALISTICA;Clarisa Tejedor Beltran;482069835;29;Sí;Urbana;F;Casado;Recursos Propios;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;Sí;3
MERCADEO;Clotilde de Solé;868181317;47;Sí;Urbana;F;Divorciado;Beca;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;No;5
LICENCIATURA EN PEDAGOGÍA INFANTIL;Teófilo Alberto Urrutia;384381875;45;Sí;Urbana;M;Soltero;Beca;REGULAR PREGRADO;No;No;5
LICENCIATURA EN PEDAGOGÍA INFANTIL;Armida Asensio Casal;962898764;46;No;Rural;F;Madre soltera;Beca;COMUNIDAD NEGRA;No;Sí;1
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Abraham de Benet;88172894;37;Sí;Urbana;M;Divorciado;Beca;REGULAR PREGRADO;Sí;No;3
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Micaela de Perez;596977159;34;Sí;Urbana;M;Madre soltera;Crédito;DESPLAZADO;No;No;5
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Manola Blanco Arribas;712365952;50;Sí;Rural;F;Madre soltera;Beca;PUEBLO INDIGENA;No;Sí;1
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Adriana Cañete Galindo;767454000;41;Sí;Urbana;M;Unión Libre;Recursos Propios;COMUNIDAD NEGRA;No;No;1
LICENCIATURA EN PEDAGOGÍA INFANTIL;Rosaura Moliner Royo;1846135;22;No;Urbana;M;Unión Libre;Recursos Propios;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;Sí;5
LICENCIATURA EN EDUCACIÓN INFANTIL;Aránzazu Peña-Manrique;172563070;49;Sí;Urbana;F;Unión Libre;Recursos Propios;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;Sí;5
ADMINISTRACIÓN FINANCIERA;Vilma Cámara Cortina;342882484;30;No;Urbana;F;Soltero;Recursos Propios;COMUNIDAD NEGRA;Sí;Sí;4
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Lucas Esteve Nuñez;284517460;19;Sí;Urbana;M;Soltero;Crédito;DESPLAZADO;Sí;No;2
LICENCIATURA EN PEDAGOGÍA INFANTIL;Jose Carlos Pozuelo;603967875;27;Sí;Urbana;F;Soltero;Crédito;PUEBLO INDIGENA;No;No;1
TECNOLOGÍA EN CRIMINALISTICA;Nilda Escrivá Carro;722323110;35;Sí;Urbana;M;Casado;Crédito;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;No;4
LICENCIATURA EN EDUCACIÓN INFANTIL;Jose Francisco Barral Font;519642897;47;No;Urbana;F;Madre soltera;Recursos Propios;REGULAR PREGRADO;No;No;4
ADMINISTRACIÓN FINANCIERA;Roldán Castañeda Lucas;813655470;21;Sí;Urbana;M;Religioso;Beca;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;Sí;3
MERCADEO;Alondra Sotelo Ribas;890663437;29;No;Rural;F;Casado;Recursos Propios;PUEBLO INDIGENA;No;Sí;4
TECNOLOGÍA EN CRIMINALISTICA;Reinaldo Ferrández;866348787;45;Sí;Rural;F;Casado;Familia;DESPLAZADO;No;Sí;2
LICENCIATURA EN PEDAGOGÍA INFANTIL;Florentino Varela-Amador;531997978;44;No;Urbana;F;Divorciado;Recursos Propios;DESPLAZADO;No;No;5
MERCADEO;Zaida Pellicer-Goicoechea;358717349;53;Sí;Rural;M;Soltero;Crédito;PUEBLO INDIGENA;Sí;Sí;1
MERCADEO;Elena Peral Torrens;35836638;17;No;Rural;F;Madre soltera;Beca;DESPLAZADO;Sí;No;3
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Lucila Mosquera Camino;655687592;42;No;Rural;M;Madre soltera;Beca;COMUNIDAD NEGRA;No;No;2
LICENCIATURA EN PEDAGOGÍA INFANTIL;Isaías Nacho Coronado Pardo;288396065;34;Sí;Rural;F;Religioso;Crédito;REGULAR PREGRADO;No;No;2
ADMINISTRACIÓN FINANCIERA;Miriam del Medina;721697423;37;No;Rural;F;Divorciado;Crédito;COMUNIDAD NEGRA;Sí;No;1
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Virginia Ribes-Blanes;734330494;24;No;Rural;F;Madre soltera;Crédito;COMUNIDAD NEGRA;Sí;No;2
ADMINISTRACIÓN FINANCIERA;Amaro Pelayo-Campo;762026339;17;Sí;Urbana;F;Unión Libre;Familia;PUEBLO INDIGENA;Sí;Sí;4
MERCADEO;Clementina del Velasco;134841906;51;No;Rural;M;Religioso;Familia;PUEBLO INDIGENA;No;No;3
ADMINISTRACIÓN FINANCIERA;Elba Perla Gascón Avilés;208871583;28;Sí;Rural;M;Casado;Familia;PUEBLO INDIGENA;No;No;4
MERCADEO;Mayte Graciela Páez Ortega;616539153;42;No;Urbana;M;Madre soltera;Beca;PUEBLO INDIGENA;No;Sí;1
TECNOLOGÍA EN CRIMINALISTICA;Amalia Romeu;832241196;29;No;Urbana;M;Soltero;Crédito;REGULAR PREGRADO;Sí;Sí;4
MERCADEO;Amaro Ávila Serna;268734331;38;No;Rural;F;Soltero;Recursos Propios;PUEBLO INDIGENA;Sí;Sí;1
TECNOLOGÍA EN CRIMINALISTICA;Emigdio Villalba Peláez;89883008;49;No;Urbana;F;Madre soltera;Beca;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;Sí;2
MERCADEO;Marianela del Iniesta;952364864;24;No;Rural;M;Unión Libre;Crédito;REGULAR PREGRADO;Sí;No;2
MERCADEO;Zaira Roca Artigas;224030897;27;Sí;Rural;M;Casado;Recursos Propios;PUEBLO INDIGENA;No;No;3
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Leonor Barrera-Atienza;922979815;34;Sí;Rural;F;Religioso;Beca;REGULAR PREGRADO;No;No;3
TECNOLOGÍA EN CRIMINALISTICA;Soledad Plana Paniagua;597726560;34;Sí;Rural;M;Divorciado;Recursos Propios;COMUNIDAD NEGRA;Sí;Sí;3
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Octavia Solé Peñas;370157046;35;No;Urbana;F;Casado;Recursos Propios;COMUNIDAD NEGRA;Sí;No;2
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Petrona Valls Cueto;682177570;50;Sí;Rural;M;Religioso;Crédito;PUEBLO INDIGENA;No;Sí;5
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Rocío Chacón Arnal;959528532;54;No;Rural;M;Casado;Familia;PUEBLO INDIGENA;Sí;Sí;5
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Caridad Solé Cerro;736855673;32;No;Urbana;F;Soltero;Recursos Propios;DESPLAZADO;Sí;Sí;5
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Candelaria Larrañaga Tejada;939436890;47;Sí;Rural;M;Casado;Beca;COMUNIDAD NEGRA;No;No;2
ADMINISTRACIÓN FINANCIERA;Lucho Hervia Múgica;927067818;26;No;Rural;F;Soltero;Crédito;PUEBLO INDIGENA;No;Sí;4
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Jerónimo Oller Díez;666209020;53;No;Rural;F;Religioso;Crédito;PUEBLO INDIGENA;Sí;Sí;1
ADMINISTRACIÓN FINANCIERA;Asdrubal Palomino Guerrero;605923221;39;Sí;Urbana;M;Soltero;Recursos Propios;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;Sí;4
LICENCIATURA EN EDUCACIÓN INFANTIL;María Luisa Almeida Baños;995743062;28;No;Urbana;F;Religioso;Familia;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;Sí;5
LICENCIATURA EN EDUCACIÓN INFANTIL;Juliana del Noriega;785603531;38;Sí;Urbana;M;Religioso;Familia;DESPLAZADO;Sí;Sí;4
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Nazario Elorza Álvarez;565961048;41;No;Rural;F;Madre soltera;Crédito;COMUNIDAD NEGRA;No;Sí;1
LICENCIATURA EN EDUCACIÓN INFANTIL;Quirino Cuevas Collado;337868232;19;Sí;Rural;M;Madre soltera;Familia;DESPLAZADO;Sí;No;5
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Rosaura Narváez Manso;97090145;31;Sí;Urbana;M;Casado;Crédito;DESPLAZADO;No;Sí;1
LICENCIATURA EN EDUCACIÓN INFANTIL;Consuelo Cabañas Borrell;608246578;18;No;Urbana;M;Madre soltera;Crédito;DESPLAZADO;No;No;2
MERCADEO;Jerónimo Valero Roldán;809368468;32;Sí;Rural;F;Casado;Recursos Propios;PUEBLO INDIGENA;No;Sí;3
TECNOLOGÍA EN CRIMINALISTICA;Aarón Íñigo Angulo Lerma;501199465;47;Sí;Rural;F;Soltero;Beca;COMUNIDAD NEGRA;Sí;No;3
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Javiera Rueda Pomares;321511036;31;Sí;Rural;F;Madre soltera;Beca;PUEBLO INDIGENA;No;No;3
TECNOLOGÍA EN CRIMINALISTICA;Ramiro Caballero Raya;88102860;47;Sí;Rural;F;Casado;Beca;REGULAR PREGRADO;Sí;No;3
MERCADEO;Soledad Ureña Castrillo;156905770;45;No;Rural;F;Unión Libre;Recursos Propios;PUEBLO INDIGENA;No;Sí;1
LICENCIATURA EN EDUCACIÓN INFANTIL;Roque Blanch Berrocal;822855089;38;No;Urbana;F;Madre soltera;Recursos Propios;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;Sí;2
LICENCIATURA EN PEDAGOGÍA INFANTIL;Rebeca Baños Gámez;790058185;22;No;Rural;M;Divorciado;Beca;PUEBLO INDIGENA;No;Sí;1
MERCADEO;Norberto Taboada;264922832;39;No;Urbana;M;Soltero;Crédito;DESPLAZADO;Sí;Sí;4
ADMINISTRACIÓN FINANCIERA;Crescencia Carreras Bejarano;227138100;36;No;Urbana;F;Madre soltera;Recursos Propios;COMUNIDAD NEGRA;Sí;No;1
TECNOLOGÍA EN CRIMINALISTICA;Saturnino Inocencio Palacios Cózar;78379661;20;No;Rural;M;Religioso;Recursos Propios;COMUNIDAD NEGRA;No;Sí;3
MERCADEO;Laura Odalis Guardiola Sanabria;863801484;53;No;Rural;F;Casado;Recursos Propios;COMUNIDAD NEGRA;No;No;2
LICENCIATURA EN PEDAGOGÍA INFANTIL;Lupita Arjona Hernando;929595707;40;No;Urbana;F;Soltero;Recursos Propios;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;No;1
LICENCIATURA EN EDUCACIÓN INFANTIL;Raúl Navas;618857266;45;Sí;Rural;M;Madre soltera;Recursos Propios;COMUNIDAD NEGRA;No;Sí;4
LICENCIATURA EN PEDAGOGÍA INFANTIL;Paulino Cuadrado Carlos;806284343;50;No;Rural;F;Unión Libre;Beca;DESPLAZADO;No;Sí;1
MERCADEO;Adelina Rosales Galvez;299134878;52;No;Rural;M;Divorciado;Familia;DESPLAZADO;No;Sí;1
ADMINISTRACIÓN FINANCIERA;Octavio Escamilla Aller;16956896;22;No;Rural;M;Divorciado;Familia;DESPLAZADO;Sí;Sí;4
LICENCIATURA EN PEDAGOGÍA INFANTIL;Primitiva Flora Julián Río;836217227;44;Sí;Urbana;F;Soltero;Crédito;PUEBLO INDIGENA;No;No;1
TECNOLOGÍA EN CRIMINALISTICA;Amaya del Bárcena;613615150;30;Sí;Urbana;M;Soltero;Recursos Propios;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;No;1
ADMINISTRACIÓN FINANCIERA;Adán Echevarría Seco;661823658;38;Sí;Urbana;F;Unión Libre;Crédito;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;Sí;1
ADMINISTRACIÓN FINANCIERA;Angelita Mireia Lucena Ferrera;20841538;50;No;Urbana;M;Religioso;Crédito;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;No;1
MERCADEO;Espiridión Guillen-Font;387319378;37;No;Urbana;M;Soltero;Crédito;DESPLAZADO;No;Sí;5
LICENCIATURA EN PEDAGOGÍA INFANTIL;Ruben Huerta Núñez;777720550;44;No;Rural;M;Unión Libre;Recursos Propios;PUEBLO INDIGENA;Sí;Sí;5
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Gracia de Reyes;490399600;19;No;Urbana;M;Soltero;Crédito;PUEBLO INDIGENA;Sí;No;5
TECNOLOGÍA EN CRIMINALISTICA;Matías Alcalde Ródenas;483896924;19;No;Rural;F;Soltero;Familia;DESPLAZADO;Sí;No;3
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Susana Cuevas Batlle;528296055;17;Sí;Urbana;F;Unión Libre;Recursos Propios;COMUNIDAD NEGRA;No;Sí;5
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Rosaura Gallego Armas;84084058;39;No;Urbana;F;Unión Libre;Crédito;DESPLAZADO;No;Sí;5
LICENCIATURA EN EDUCACIÓN INFANTIL;Milagros Cáceres Ariño;178673929;31;No;Urbana;M;Unión Libre;Familia;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;No;3
TECNOLOGÍA EN CRIMINALISTICA;Arcelia Valero Arévalo;317761116;53;Sí;Rural;F;Divorciado;Beca;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;Sí;3
MERCADEO;Germán Planas Sanjuan;689628350;53;No;Rural;F;Unión Libre;Familia;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;No;1
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Édgar Garriga Galindo;449190052;22;Sí;Urbana;M;Divorciado;Familia;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;No;2
LICENCIATURA EN EDUCACIÓN INFANTIL;Anselmo Calderón Uriarte;645062815;27;Sí;Rural;M;Religioso;Familia;DESPLAZADO;No;Sí;4
MERCADEO;Emiliano Collado Aguado;644738282;27;Sí;Rural;M;Casado;Crédito;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;No;1
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Candelaria Amada Pinedo Sáenz;152058028;43;No;Rural;M;Divorciado;Crédito;COMUNIDAD NEGRA;Sí;Sí;3
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Encarna Ribera Cal;373242972;37;Sí;Rural;F;Religioso;Beca;DESPLAZADO;No;No;4
LICENCIATURA EN EDUCACIÓN INFANTIL;Paulino Fabricio Mora Carmona;806603861;43;No;Rural;M;Religioso;Familia;COMUNIDAD NEGRA;Sí;Sí;1
LICENCIATURA EN PEDAGOGÍA INFANTIL;Flavia Mir Bou;675932124;16;Sí;Rural;F;Religioso;Crédito;COMUNIDAD NEGRA;No;Sí;2
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Eugenio Soler-Mateos;95879586;54;No;Urbana;M;Madre soltera;Beca;REGULAR PREGRADO;Sí;No;3
LICENCIATURA EN PEDAGOGÍA INFANTIL;Marcial Rogelio Jover Lozano;402318225;28;No;Rural;F;Casado;Beca;REGULAR PREGRADO;Sí;Sí;5
LICENCIATURA EN PEDAGOGÍA INFANTIL;Teófilo Cazorla Palomares;762765192;27;No;Urbana;F;Religioso;Recursos Propios;DESPLAZADO;No;No;4
TECNOLOGÍA EN CRIMINALISTICA;Nico Galvez-Cabanillas;133982858;54;No;Urbana;M;Unión Libre;Recursos Propios;REGULAR PREGRADO;No;No;4
ADMINISTRACIÓN FINANCIERA;Mirta Perera Rosselló;402404433;36;No;Rural;M;Casado;Recursos Propios;PUEBLO INDIGENA;Sí;No;4
TECNOLOGÍA EN CRIMINALISTICA;Liliana de León;631089214;38;No;Urbana;M;Casado;Beca;PUEBLO INDIGENA;No;Sí;3
LICENCIATURA EN EDUCACIÓN INFANTIL;Nerea Puerta Arévalo;796669021;26;Sí;Rural;M;Madre soltera;Recursos Propios;COMUNIDAD NEGRA;Sí;Sí;1
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Reina Benavente Tolosa;544561480;37;No;Urbana;M;Religioso;Familia;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;No;2
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Felisa Pera-Varela;173840644;22;Sí;Urbana;F;Religioso;Beca;COMUNIDAD NEGRA;No;Sí;5
ADMINISTRACIÓN FINANCIERA;Amalia Perales Abella;482548279;48;Sí;Rural;F;Casado;Crédito;PUEBLO INDIGENA;No;Sí;1
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Olimpia Haydée Soriano Bustamante;436312694;38;Sí;Urbana;M;Casado;Crédito;DESPLAZADO;No;Sí;2
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Felicidad Cabeza Gimeno;610240812;48;No;Urbana;F;Madre soltera;Beca;REGULAR PREGRADO;Sí;Sí;5
MERCADEO;Vanesa Andres;859239464;31;Sí;Rural;F;Madre soltera;Familia;REGULAR PREGRADO;No;No;5
LICENCIATURA EN EDUCACIÓN INFANTIL;Crescencia Benito Salinas;25909675;32;No;Rural;F;Religioso;Recursos Propios;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;Sí;5
LICENCIATURA EN EDUCACIÓN INFANTIL;José Ángel Eloy Calzada Canals;3853648;51;No;Rural;F;Divorciado;Crédito;DESPLAZADO;Sí;No;2
TECNOLOGÍA EN CRIMINALISTICA;Cruz Puente Sevilla;681742722;53;No;Urbana;F;Casado;Recursos Propios;PUEBLO INDIGENA;No;Sí;1
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Juanito Roma Sarmiento;308085568;16;Sí;Urbana;M;Religioso;Crédito;PUEBLO INDIGENA;Sí;No;3
LICENCIATURA EN EDUCACIÓN INFANTIL;Rosaura Serna Martí;700869053;49;Sí;Rural;F;Unión Libre;Crédito;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;Sí;3
ADMINISTRACIÓN FINANCIERA;Eliseo Comas;909388915;52;Sí;Rural;M;Divorciado;Recursos Propios;PUEBLO INDIGENA;No;No;2
ADMINISTRACIÓN FINANCIERA;Tiburcio Palma Aguirre;173452462;25;No;Rural;F;Divorciado;Crédito;PUEBLO INDIGENA;No;Sí;4
LICENCIATURA EN EDUCACIÓN INFANTIL;Fortunato Infante Muro;461408640;44;No;Urbana;F;Divorciado;Familia;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;No;5
ADMINISTRACIÓN FINANCIERA;Anselmo Cándido Anguita Noguera;701098345;48;Sí;Urbana;M;Madre soltera;Familia;PUEBLO INDIGENA;No;No;2
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Begoña Maldonado;60438476;36;Sí;Rural;F;Madre soltera;Crédito;PUEBLO INDIGENA;No;No;3
ADMINISTRACIÓN FINANCIERA;Rico del Casares;653435560;43;No;Urbana;F;Casado;Familia;COMUNIDAD NEGRA;No;No;5
LICENCIATURA EN EDUCACIÓN INFANTIL;Custodia de Gallart;775256722;28;No;Urbana;F;Casado;Crédito;REGULAR PREGRADO;Sí;Sí;2
LICENCIATURA EN EDUCACIÓN INFANTIL;Cosme Dominguez Sobrino;804625589;21;Sí;Urbana;F;Divorciado;Beca;REGULAR PREGRADO;No;Sí;5
LICENCIATURA EN EDUCACIÓN INFANTIL;Aitana Roldan-Rodrigo;937241253;52;Sí;Rural;F;Casado;Beca;PUEBLO INDIGENA;No;Sí;3
TECNOLOGÍA EN CRIMINALISTICA;Alfonso del Bueno;732969014;31;Sí;Rural;F;Religioso;Crédito;PUEBLO INDIGENA;Sí;Sí;1
LICENCIATURA EN EDUCACIÓN INFANTIL;Reina Sevilla Segarra;457276119;54;Sí;Rural;M;Casado;Recursos Propios;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;No;2
LICENCIATURA EN EDUCACIÓN INFANTIL;José Belda Lasa;778388058;25;No;Rural;M;Divorciado;Crédito;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;No;3
ADMINISTRACIÓN FINANCIERA;Morena Parra Chamorro;692432083;52;No;Rural;M;Religioso;Recursos Propios;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;No;3
MERCADEO;Ana Sofía Lluch Villar;317793164;52;Sí;Urbana;F;Soltero;Beca;PUEBLO INDIGENA;No;Sí;5
LICENCIATURA EN EDUCACIÓN INFANTIL;Conrado Benavides Muro;264323591;17;Sí;Rural;M;Madre soltera;Familia;DESPLAZADO;Sí;No;5
LICENCIATURA EN PEDAGOGÍA INFANTIL;Guiomar Cabanillas-Sanchez;593229341;19;No;Urbana;F;Divorciado;Crédito;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;Sí;5
ADMINISTRACIÓN FINANCIERA;Heriberto Trinidad Marín Baena;920308214;19;No;Rural;F;Religioso;Recursos Propios;DESPLAZADO;No;Sí;4
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Narciso Jara Cabezas;136227977;22;No;Rural;F;Madre soltera;Recursos Propios;COMUNIDAD NEGRA;No;Sí;5
LICENCIATURA EN EDUCACIÓN INFANTIL;Maribel Farré Crespo;46871085;39;No;Urbana;M;Religioso;Familia;PUEBLO INDIGENA;Sí;No;3
TECNOLOGÍA EN CRIMINALISTICA;Amancio Sierra Benítez;691655884;32;Sí;Rural;F;Madre soltera;Crédito;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;Sí;5
ADMINISTRACIÓN FINANCIERA;Amor Zamora Perea;861593450;34;No;Urbana;M;Divorciado;Crédito;COMUNIDAD NEGRA;No;Sí;3
MERCADEO;Ambrosio Fabra-Donaire;699622669;18;Sí;Rural;M;Religioso;Recursos Propios;REGULAR PREGRADO;No;Sí;3
ADMINISTRACIÓN FINANCIERA;Amaya Comas Bustos;186602183;35;Sí;Urbana;F;Madre soltera;Familia;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;No;4
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Chema Alvarado Castillo;80445377;16;No;Urbana;M;Divorciado;Crédito;DESPLAZADO;No;Sí;4
ADMINISTRACIÓN FINANCIERA;Eloy Luque Fábregas;845752098;28;Sí;Urbana;F;Unión Libre;Familia;DESPLAZADO;Sí;No;5
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Juan Manuel Josué Pérez Almansa;801235851;33;No;Rural;M;Religioso;Crédito;DESPLAZADO;No;No;1
MERCADEO;Carmen Nilda Santiago Becerra;906055288;20;Sí;Rural;F;Religioso;Beca;DESPLAZADO;Sí;Sí;3
ADMINISTRACIÓN FINANCIERA;Javiera del Beltrán;899485427;50;No;Urbana;F;Soltero;Crédito;COMUNIDAD NEGRA;No;No;2
LICENCIATURA EN PEDAGOGÍA INFANTIL;Eulalia Arrieta Lozano;797956796;34;Sí;Rural;F;Casado;Recursos Propios;DESPLAZADO;No;No;1
MERCADEO;Rolando Álvarez Guerra;828114656;51;No;Urbana;M;Divorciado;Crédito;REGULAR PREGRADO;No;No;5
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Pacífica Ripoll Marqués;150750431;52;No;Urbana;F;Casado;Crédito;REGULAR PREGRADO;No;No;5
TECNOLOGÍA EN CRIMINALISTICA;José Paz Elías;364402919;16;No;Urbana;M;Divorciado;Familia;COMUNIDAD NEGRA;No;Sí;1
