PROGRAMA;nombre;cedula;EDAD_DE_INGRESO;Actualmente_trabaja;Tipo_de_población_a_la_que_pertenece;SEXO;ESTADO_CIVIL;¿Cómo_financia_sus_estudios?;CIRCUNSCRIPCION;¿Dispone_de_un_computador_permanentemente?;¿Posee_conexión_permanente_a_internet?;ESTRATO
LICENCIATURA EN EDUCACIÓN INFANTIL;Juan Bautista Pedro Cámara;631111356;16;No;Urbana;F;Unión Libre;Familia;REGULAR PREGRADO;No;No;3
LICENCIATURA EN EDUCACIÓN INFANTIL;Maximiliano Collado Lago;296215795;30;No;Rural;M;Religioso;Crédito;COMUNIDAD NEGRA;Sí;No;3
ADMINISTRACIÓN FINANCIERA;Alex Ortiz Heredia;815536687;36;Sí;Rural;F;Madre soltera;Familia;PUEBLO INDIGENA;No;No;2
ADMINISTRACIÓN FINANCIERA;Víctor Fuertes Espejo;346100518;48;No;Urbana;M;Religioso;Familia;PUEBLO INDIGENA;Sí;No;1
TECNOLOGÍA EN CRIMINALISTICA;Jerónimo del Feijoo;189273009;51;Sí;Rural;F;Unión Libre;Recursos Propios;DESPLAZADO;Sí;No;2
LICENCIATURA EN EDUCACIÓN INFANTIL;Rubén Barranco Antúnez;226634325;34;Sí;Urbana;F;Religioso;Beca;PUEBLO INDIGENA;No;Sí;3
TECNOLOGÍA EN CRIMINALISTICA;Fermín Quirós-Pont;288550710;43;No;Rural;F;Divorciado;Familia;COMUNIDAD NEGRA;Sí;Sí;2
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Eutimio Carballo Trillo;480299243;38;No;Urbana;F;Soltero;Familia;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;Sí;3
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Violeta Villalba Gonzalez;919884870;54;No;Urbana;F;Divorciado;Beca;REGULAR PREGRADO;No;No;3
ADMINISTRACIÓN FINANCIERA;Abel Checa Mateos;275923837;36;No;Urbana;M;Divorciado;Crédito;PUEBLO INDIGENA;No;Sí;2
ADMINISTRACIÓN FINANCIERA;Rogelio Cueto Ojeda;731956900;24;Sí;Urbana;M;Madre soltera;Familia;DESPLAZADO;Sí;No;3
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Jafet Garmendia-Agullo;376332557;48;Sí;Urbana;F;Unión Libre;Crédito;REGULAR PREGRADO;No;Sí;4
TECNOLOGÍA EN CRIMINALISTICA;Maricela del Rodríguez;507754865;22;No;Rural;F;Unión Libre;Beca;PUEBLO INDIGENA;Sí;Sí;3
LICENCIATURA EN PEDAGOGÍA INFANTIL;Andrés Cristian Benet Tenorio;369828302;21;No;Rural;F;Religioso;Beca;DESPLAZADO;No;Sí;4
LICENCIATURA EN PEDAGOGÍA INFANTIL;Ildefonso Adelardo Morales Sandoval;487136083;16;No;Urbana;F;Casado;Beca;DESPLAZADO;Sí;Sí;2
LICENCIATURA EN PEDAGOGÍA INFANTIL;Alonso Cantón Santana;407826971;35;No;Rural;M;Casado;Recursos Propios;PUEBLO INDIGENA;No;No;4
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Lucas Vall Riera;523882087;37;No;Urbana;M;Madre soltera;Beca;COMUNIDAD NEGRA;Sí;No;2
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Clotilde Pardo Ortuño;217432617;42;No;Rural;M;Casado;Recursos Propios;REGULAR PREGRADO;No;Sí;2
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Chuy Falcó Morán;461976735;19;Sí;Rural;M;Divorciado;Crédito;PUEBLO INDIGENA;No;No;4
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Eloy Perelló;785483616;38;Sí;Urbana;M;Divorciado;Familia;DESPLAZADO;Sí;Sí;3
LICENCIATURA EN PEDAGOGÍA INFANTIL;Marcos Torre Cáceres;370595215;34;Sí;Rural;F;Madre soltera;Familia;COMUNIDAD NEGRA;No;No;2
LICENCIATURA EN EDUCACIÓN INFANTIL;Lina Hervia Ribera;114709618;47;No;Rural;M;Madre soltera;Recursos Propios;COMUNIDAD NEGRA;Sí;No;1
ADMINISTRACIÓN FINANCIERA;Evita de Taboada;717834681;47;No;Rural;M;Unión Libre;Familia;DESPLAZADO;Sí;No;2
MERCADEO;Pía Taboada Montoya;804716478;39;Sí;Rural;M;Divorciado;Familia;COMUNIDAD NEGRA;No;No;2
TECNOLOGÍA EN CRIMINALISTICA;Oriana Castejón Cañete;168175358;30;No;Rural;F;Religioso;Beca;COMUNIDAD NEGRA;Sí;Sí;4
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Jorge Gallart Castejón;312448834;25;Sí;Rural;M;Religioso;Recursos Propios;COMUNIDAD NEGRA;Sí;Sí;2
ADMINISTRACIÓN FINANCIERA;Rosa Clementina Alcántara Uribe;729508797;36;No;Rural;F;Unión Libre;Recursos Propios;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;Sí;1
MERCADEO;Liliana Bermudez Pintor;739765207;24;No;Urbana;F;Divorciado;Recursos Propios;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;Sí;2
LICENCIATURA EN EDUCACIÓN INFANTIL;Juanito Codina Pellicer;498689811;31;No;Rural;F;Soltero;Crédito;REGULAR PREGRADO;Sí;No;5
MERCADEO;Javiera Pozuelo-Blasco;577659974;51;Sí;Urbana;M;Madre soltera;Familia;REGULAR PREGRADO;No;No;2
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Clarisa Tejedor Beltran;576538809;46;No;Urbana;M;Divorciado;Crédito;PUEBLO INDIGENA;No;No;4
MERCADEO;Clotilde de Solé;166680616;37;Sí;Rural;F;Divorciado;Recursos Propios;PUEBLO INDIGENA;No;Sí;1
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Teófilo Alberto Urrutia;606683686;34;Sí;Urbana;F;Soltero;Recursos Propios;PUEBLO INDIGENA;No;No;2
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Armida Asensio Casal;985421073;25;Sí;Rural;F;Madre soltera;Recursos Propios;DESPLAZADO;Sí;No;1
MERCADEO;Abraham de Benet;817234981;47;Sí;Urbana;M;Casado;Recursos Propios;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;Sí;5
TECNOLOGÍA EN CRIMINALISTICA;Micaela de Perez;361832136;38;Sí;Rural;F;Madre soltera;Familia;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;No;5
TECNOLOGÍA EN CRIMINALISTICA;Manola Blanco Arribas;200500865;18;Sí;Urbana;M;Casado;Recursos Propios;DESPLAZADO;No;Sí;3
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Adriana Cañete Galindo;989625406;43;No;Urbana;F;Madre soltera;Recursos Propios;REGULAR PREGRADO;Sí;Sí;5
LICENCIATURA EN EDUCACIÓN INFANTIL;Rosaura Moliner Royo;50564101;44;No;Rural;M;Madre soltera;Beca;PUEBLO INDIGENA;No;Sí;1
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Aránzazu Peña-Manrique;247791968;49;No;Urbana;F;Religioso;Familia;PUEBLO INDIGENA;Sí;No;2
LICENCIATURA EN EDUCACIÓN INFANTIL;Vilma Cámara Cortina;161854073;27;No;Rural;F;Soltero;Recursos Propios;DESPLAZADO;No;No;2
LICENCIATURA EN EDUCACIÓN INFANTIL;Lucas Esteve Nuñez;81277669;28;Sí;Urbana;F;Divorciado;Familia;COMUNIDAD NEGRA;No;Sí;4
MERCADEO;Jose Carlos Pozuelo;123361334;38;Sí;Urbana;F;Divorciado;Beca;COMUNIDAD NEGRA;No;Sí;4
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Nilda Escrivá Carro;839877608;37;No;Urbana;F;Religioso;Beca;PUEBLO INDIGENA;Sí;Sí;2
LICENCIATURA EN EDUCACIÓN INFANTIL;Jose Francisco Barral Font;602920366;37;Sí;Urbana;F;Unión Libre;Familia;PUEBLO INDIGENA;Sí;Sí;4
ADMINISTRACIÓN FINANCIERA;Roldán Castañeda Lucas;687021952;53;Sí;Urbana;M;Unión Libre;Beca;COMUNIDAD NEGRA;No;No;1
MERCADEO;Alondra Sotelo Ribas;294263656;23;No;Rural;M;Casado;Beca;COMUNIDAD NEGRA;Sí;No;4
TECNOLOGÍA EN CRIMINALISTICA;Reinaldo Ferrández;954660842;17;Sí;Rural;M;Divorciado;Familia;COMUNIDAD NEGRA;Sí;Sí;2
TECNOLOGÍA EN CRIMINALISTICA;Florentino Varela-Amador;2649478;27;Sí;Rural;M;Religioso;Crédito;REGULAR PREGRADO;No;Sí;4
LICENCIATURA EN PEDAGOGÍA INFANTIL;Zaida Pellicer-Goicoechea;798209506;49;No;Urbana;M;Soltero;Beca;DESPLAZADO;No;No;4
MERCADEO;Elena Peral Torrens;109117857;40;No;Rural;M;Divorciado;Familia;DESPLAZADO;No;No;1
TECNOLOGÍA EN CRIMINALISTICA;Lucila Mosquera Camino;915313960;30;Sí;Urbana;M;Casado;Crédito;PUEBLO INDIGENA;No;No;3
LICENCIATURA EN EDUCACIÓN INFANTIL;Isaías Nacho Coronado Pardo;516869994;31;No;Rural;M;Religioso;Recursos Propios;REGULAR PREGRADO;Sí;Sí;3
LICENCIATURA EN PEDAGOGÍA INFANTIL;Miriam del Medina;545521685;38;Sí;Urbana;M;Unión Libre;Beca;DESPLAZADO;No;Sí;5
MERCADEO;Virginia Ribes-Blanes;778583535;32;Sí;Urbana;F;Religioso;Recursos Propios;PUEBLO INDIGENA;Sí;No;2
ADMINISTRACIÓN FINANCIERA;Amaro Pelayo-Campo;201785134;19;No;Urbana;F;Unión Libre;Beca;DESPLAZADO;Sí;No;4
TECNOLOGÍA EN CRIMINALISTICA;Clementina del Velasco;698696156;47;No;Urbana;M;Religioso;Familia;REGULAR PREGRADO;No;No;1
ADMINISTRACIÓN FINANCIERA;Elba Perla Gascón Avilés;299110229;31;Sí;Urbana;M;Unión Libre;Beca;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;No;5
MERCADEO;Mayte Graciela Páez Ortega;126326067;16;No;Urbana;M;Unión Libre;Recursos Propios;DESPLAZADO;No;Sí;5
LICENCIATURA EN EDUCACIÓN INFANTIL;Amalia Romeu;758124673;32;Sí;Urbana;M;Soltero;Recursos Propios;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;Sí;5
MERCADEO;Amaro Ávila Serna;136813681;24;No;Urbana;F;Divorciado;Crédito;PUEBLO INDIGENA;No;Sí;2
LICENCIATURA EN PEDAGOGÍA INFANTIL;Emigdio Villalba Peláez;808678646;16;Sí;Rural;F;Casado;Recursos Propios;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;No;3
ADMINISTRACIÓN FINANCIERA;Marianela del Iniesta;447884066;21;No;Urbana;M;Casado;Familia;COMUNIDAD NEGRA;No;Sí;2
ADMINISTRACIÓN FINANCIERA;Zaira Roca Artigas;415138265;27;No;Rural;F;Soltero;Familia;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;Sí;5
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Leonor Barrera-Atienza;605017873;27;Sí;Rural;F;Casado;Recursos Propios;DESPLAZADO;No;No;4
LICENCIATURA EN PEDAGOGÍA INFANTIL;Soledad Plana Paniagua;875737435;48;Sí;Rural;F;Unión Libre;Beca;COMUNIDAD NEGRA;No;No;4
TECNOLOGÍA EN CRIMINALISTICA;Octavia Solé Peñas;61425340;26;Sí;Urbana;M;Madre soltera;Crédito;REGULAR PREGRADO;No;Sí;1
LICENCIATURA EN PEDAGOGÍA INFANTIL;Petrona Valls Cueto;866396636;42;No;Urbana;M;Unión Libre;Beca;DESPLAZADO;Sí;No;4
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Rocío Chacón Arnal;359993720;41;Sí;Rural;F;Unión Libre;Familia;PUEBLO INDIGENA;No;No;2
TECNOLOGÍA EN CRIMINALISTICA;Caridad Solé Cerro;984669770;46;Sí;Urbana;F;Religioso;Recursos Propios;PUEBLO INDIGENA;No;Sí;5
ADMINISTRACIÓN FINANCIERA;Candelaria Larrañaga Tejada;261589722;25;Sí;Urbana;M;Religioso;Crédito;DESPLAZADO;No;Sí;4
TECNOLOGÍA EN CRIMINALISTICA;Lucho Hervia Múgica;983535628;44;No;Rural;M;Madre soltera;Recursos Propios;COMUNIDAD NEGRA;No;Sí;1
LICENCIATURA EN PEDAGOGÍA INFANTIL;Jerónimo Oller Díez;568221588;52;No;Urbana;M;Madre soltera;Recursos Propios;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;No;4
ADMINISTRACIÓN FINANCIERA;Asdrubal Palomino Guerrero;348397655;24;No;Rural;M;Unión Libre;Beca;PUEBLO INDIGENA;No;No;5
ADMINISTRACIÓN FINANCIERA;María Luisa Almeida Baños;845481721;16;No;Rural;F;Divorciado;Familia;DESPLAZADO;Sí;No;3
LICENCIATURA EN EDUCACIÓN INFANTIL;Juliana del Noriega;849195582;49;Sí;Rural;M;Religioso;Beca;DESPLAZADO;Sí;Sí;1
LICENCIATURA EN PEDAGOGÍA INFANTIL;Nazario Elorza Álvarez;895617730;32;No;Urbana;F;Religioso;Beca;DESPLAZADO;Sí;Sí;1
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Quirino Cuevas Collado;120429500;43;Sí;Rural;M;Madre soltera;Recursos Propios;REGULAR PREGRADO;Sí;Sí;4
LICENCIATURA EN EDUCACIÓN INFANTIL;Rosaura Narváez Manso;15901067;26;Sí;Urbana;M;Divorciado;Familia;COMUNIDAD NEGRA;No;Sí;2
LICENCIATURA EN EDUCACIÓN INFANTIL;Consuelo Cabañas Borrell;600601912;30;No;Rural;F;Soltero;Familia;COMUNIDAD NEGRA;Sí;Sí;2
LICENCIATURA EN PEDAGOGÍA INFANTIL;Jerónimo Valero Roldán;726135598;32;No;Urbana;M;Religioso;Crédito;DESPLAZADO;Sí;No;1
ADMINISTRACIÓN FINANCIERA;Aarón Íñigo Angulo Lerma;276183268;34;No;Urbana;M;Casado;Beca;REGULAR PREGRADO;Sí;No;2
LICENCIATURA EN EDUCACIÓN INFANTIL;Javiera Rueda Pomares;811398219;37;Sí;Urbana;M;Divorciado;Recursos Propios;DESPLAZADO;Sí;No;4
LICENCIATURA EN PEDAGOGÍA INFANTIL;Ramiro Caballero Raya;60796975;28;Sí;Urbana;M;Soltero;Crédito;COMUNIDAD NEGRA;Sí;Sí;4
MERCADEO;Soledad Ureña Castrillo;170590087;38;Sí;Urbana;F;Unión Libre;Recursos Propios;DESPLAZADO;No;No;1
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Roque Blanch Berrocal;912134689;16;No;Urbana;M;Religioso;Beca;PUEBLO INDIGENA;No;No;3
LICENCIATURA EN PEDAGOGÍA INFANTIL;Rebeca Baños Gámez;681668932;51;No;Urbana;F;Soltero;Crédito;DESPLAZADO;Sí;No;5
ADMINISTRACIÓN FINANCIERA;Norberto Taboada;627969297;25;No;Urbana;M;Soltero;Familia;COMUNIDAD NEGRA;Sí;No;3
ADMINISTRACIÓN FINANCIERA;Crescencia Carreras Bejarano;926808398;48;No;Urbana;M;Divorciado;Familia;COMUNIDAD NEGRA;No;Sí;2
LICENCIATURA EN PEDAGOGÍA INFANTIL;Saturnino Inocencio Palacios Cózar;641161560;22;Sí;Urbana;M;Divorciado;Familia;DESPLAZADO;Sí;No;1
LICENCIATURA EN EDUCACIÓN INFANTIL;Laura Odalis Guardiola Sanabria;795479950;18;Sí;Rural;F;Casado;Beca;PUEBLO INDIGENA;No;Sí;2
MERCADEO;Lupita Arjona Hernando;319688881;34;No;Urbana;F;Soltero;Crédito;DESPLAZADO;No;No;5
ADMINISTRACIÓN FINANCIERA;Raúl Navas;596642576;47;Sí;Rural;M;Unión Libre;Familia;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;Sí;1
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Paulino Cuadrado Carlos;160988497;51;No;Urbana;M;Madre soltera;Familia;PUEBLO INDIGENA;No;No;4
TECNOLOGÍA EN CRIMINALISTICA;Adelina Rosales Galvez;456705232;30;Sí;Urbana;F;Madre soltera;Beca;DESPLAZADO;No;No;1
ADMINISTRACIÓN FINANCIERA;Octavio Escamilla Aller;430807327;19;Sí;Urbana;M;Soltero;Crédito;COMUNIDAD NEGRA;Sí;Sí;3
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Primitiva Flora Julián Río;140276881;50;No;Rural;M;Unión Libre;Beca;REGULAR PREGRADO;Sí;No;4
TECNOLOGÍA EN CRIMINALISTICA;Amaya del Bárcena;361901042;23;No;Rural;M;Soltero;Recursos Propios;DESPLAZADO;Sí;No;5
ADMINISTRACIÓN FINANCIERA;Adán Echevarría Seco;488123744;24;Sí;Urbana;F;Divorciado;Crédito;COMUNIDAD NEGRA;No;Sí;5
ADMINISTRACIÓN FINANCIERA;Angelita Mireia Lucena Ferrera;674470576;19;Sí;Urbana;F;Religioso;Beca;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;Sí;2
LICENCIATURA EN EDUCACIÓN INFANTIL;Espiridión Guillen-Font;162495815;32;No;Rural;F;Soltero;Familia;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;No;3
LICENCIATURA EN PEDAGOGÍA INFANTIL;Ruben Huerta Núñez;289764872;39;No;Rural;F;Casado;Crédito;REGULAR PREGRADO;No;No;3
MERCADEO;Gracia de Reyes;681350393;44;No;Rural;F;Religioso;Crédito;REGULAR PREGRADO;Sí;No;1
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Matías Alcalde Ródenas;394884234;36;Sí;Rural;F;Divorciado;Recursos Propios;COMUNIDAD NEGRA;No;Sí;2
MERCADEO;Susana Cuevas Batlle;417968783;27;No;Rural;M;Casado;Recursos Propios;REGULAR PREGRADO;Sí;No;4
MERCADEO;Rosaura Gallego Armas;924264319;43;Sí;Urbana;F;Madre soltera;Recursos Propios;PUEBLO INDIGENA;Sí;No;2
MERCADEO;Milagros Cáceres Ariño;889088453;29;Sí;Rural;F;Casado;Crédito;PUEBLO INDIGENA;Sí;Sí;2
LICENCIATURA EN EDUCACIÓN INFANTIL;Arcelia Valero Arévalo;641269897;54;Sí;Urbana;M;Casado;Familia;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;No;3
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Germán Planas Sanjuan;795973190;26;No;Rural;M;Casado;Familia;PUEBLO INDIGENA;Sí;Sí;4
ADMINISTRACIÓN FINANCIERA;Édgar Garriga Galindo;299926115;29;Sí;Urbana;F;Casado;Recursos Propios;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;Sí;1
LICENCIATURA EN PEDAGOGÍA INFANTIL;Anselmo Calderón Uriarte;799635974;27;Sí;Rural;M;Religioso;Familia;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;No;3
ADMINISTRACIÓN FINANCIERA;Emiliano Collado Aguado;11362389;18;No;Rural;F;Soltero;Recursos Propios;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;No;4
LICENCIATURA EN PEDAGOGÍA INFANTIL;Candelaria Amada Pinedo Sáenz;910389977;42;No;Rural;F;Casado;Beca;DESPLAZADO;Sí;Sí;5
LICENCIATURA EN PEDAGOGÍA INFANTIL;Encarna Ribera Cal;954931149;28;Sí;Urbana;F;Divorciado;Familia;DESPLAZADO;No;Sí;2
LICENCIATURA EN EDUCACIÓN INFANTIL;Paulino Fabricio Mora Carmona;113721984;39;No;Urbana;F;Divorciado;Beca;REGULAR PREGRADO;No;No;1
ADMINISTRACIÓN FINANCIERA;Flavia Mir Bou;500757312;34;No;Rural;F;Madre soltera;Familia;PUEBLO INDIGENA;Sí;Sí;4
LICENCIATURA EN PEDAGOGÍA INFANTIL;Eugenio Soler-Mateos;110657792;21;No;Rural;M;Madre soltera;Recursos Propios;COMUNIDAD NEGRA;Sí;Sí;5
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Marcial Rogelio Jover Lozano;909130433;46;No;Urbana;F;Soltero;Crédito;PUEBLO INDIGENA;No;Sí;5
TECNOLOGÍA EN CRIMINALISTICA;Teófilo Cazorla Palomares;77695170;43;No;Rural;M;Religioso;Crédito;COMUNIDAD NEGRA;No;No;3
ADMINISTRACIÓN FINANCIERA;Nico Galvez-Cabanillas;903437311;23;Sí;Rural;M;Soltero;Beca;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;No;3
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Mirta Perera Rosselló;261563659;53;Sí;Rural;F;Unión Libre;Recursos Propios;COMUNIDAD NEGRA;Sí;Sí;1
MERCADEO;Liliana de León;409941206;16;No;Rural;M;Soltero;Beca;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;No;1
LICENCIATURA EN PEDAGOGÍA INFANTIL;Nerea Puerta Arévalo;459763253;28;No;Urbana;F;Casado;Crédito;REGULAR PREGRADO;No;Sí;4
TECNOLOGÍA EN CRIMINALISTICA;Reina Benavente Tolosa;752249978;39;Sí;Urbana;M;Unión Libre;Familia;PUEBLO INDIGENA;Sí;Sí;2
ADMINISTRACIÓN FINANCIERA;Felisa Pera-Varela;906080441;41;No;Urbana;M;Unión Libre;Recursos Propios;DESPLAZADO;No;No;1
LICENCIATURA EN EDUCACIÓN INFANTIL;Amalia Perales Abella;538217022;37;Sí;Rural;F;Unión Libre;Crédito;PUEBLO INDIGENA;No;Sí;2
TECNOLOGÍA EN CRIMINALISTICA;Olimpia Haydée Soriano Bustamante;322150084;19;Sí;Rural;M;Madre soltera;Beca;REGULAR PREGRADO;No;No;2
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Felicidad Cabeza Gimeno;650135676;31;No;Rural;M;Religioso;Beca;DESPLAZADO;No;No;4
LICENCIATURA EN PEDAGOGÍA INFANTIL;Vanesa Andres;758802865;51;No;Urbana;M;Religioso;Beca;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;No;1
ADMINISTRACIÓN FINANCIERA;Crescencia Benito Salinas;259614822;32;Sí;Rural;M;Unión Libre;Familia;REGULAR PREGRADO;Sí;Sí;3
ADMINISTRACIÓN FINANCIERA;José Ángel Eloy Calzada Canals;724503521;47;No;Rural;M;Soltero;Beca;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;No;1
TECNOLOGÍA EN CRIMINALISTICA;Cruz Puente Sevilla;499169607;39;No;Rural;M;Casado;Beca;PUEBLO INDIGENA;No;Sí;5
LICENCIATURA EN EDUCACIÓN INFANTIL;Juanito Roma Sarmiento;329405871;18;Sí;Rural;F;Madre soltera;Familia;PUEBLO INDIGENA;Sí;No;5
TECNOLOGÍA EN CRIMINALISTICA;Rosaura Serna Martí;474308895;50;Sí;Rural;F;Divorciado;Crédito;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;Sí;5
ADMINISTRACIÓN FINANCIERA;Eliseo Comas;802215887;49;Sí;Urbana;F;Religioso;Familia;PUEBLO INDIGENA;No;No;2
LICENCIATURA EN PEDAGOGÍA INFANTIL;Tiburcio Palma Aguirre;15399706;30;No;Rural;F;Divorciado;Beca;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;Sí;2
LICENCIATURA EN EDUCACIÓN INFANTIL;Fortunato Infante Muro;590711820;44;No;Urbana;F;Unión Libre;Recursos Propios;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;Sí;2
ADMINISTRACIÓN FINANCIERA;Anselmo Cándido Anguita Noguera;988637256;41;No;Rural;M;Divorciado;Recursos Propios;PUEBLO INDIGENA;Sí;No;3
ADMINISTRACIÓN FINANCIERA;Begoña Maldonado;826693229;20;Sí;Rural;F;Unión Libre;Familia;DESPLAZADO;No;No;1
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Rico del Casares;181384813;26;Sí;Urbana;M;Divorciado;Familia;COMUNIDAD NEGRA;No;Sí;3
TECNOLOGÍA EN CRIMINALISTICA;Custodia de Gallart;656247934;39;No;Rural;F;Religioso;Recursos Propios;DESPLAZADO;No;No;1
ADMINISTRACIÓN FINANCIERA;Cosme Dominguez Sobrino;682892635;22;Sí;Urbana;M;Divorciado;Recursos Propios;PUEBLO INDIGENA;No;No;1
LICENCIATURA EN EDUCACIÓN INFANTIL;Aitana Roldan-Rodrigo;4062077;51;Sí;Rural;F;Casado;Beca;PUEBLO INDIGENA;No;No;5
ADMINISTRACIÓN FINANCIERA;Alfonso del Bueno;763509754;33;Sí;Rural;F;Religioso;Beca;REGULAR PREGRADO;Sí;No;2
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Reina Sevilla Segarra;767792483;32;Sí;Urbana;M;Casado;Crédito;PUEBLO INDIGENA;Sí;Sí;4
ADMINISTRACIÓN FINANCIERA;José Belda Lasa;937343154;18;Sí;Rural;F;Soltero;Crédito;REGULAR PREGRADO;Sí;Sí;1
TECNOLOGÍA EN CRIMINALISTICA;Morena Parra Chamorro;67943675;31;No;Rural;M;Soltero;Recursos Propios;DESPLAZADO;No;No;4
ADMINISTRACIÓN FINANCIERA;Ana Sofía Lluch Villar;965336768;18;Sí;Rural;M;Divorciado;Familia;DESPLAZADO;No;Sí;5
ADMINISTRACIÓN FINANCIERA;Conrado Benavides Muro;760366422;45;Sí;Urbana;M;Divorciado;Recursos Propios;DESPLAZADO;No;Sí;1
ADMINISTRACIÓN FINANCIERA;Guiomar Cabanillas-Sanchez;957197617;52;Sí;Rural;M;Casado;Crédito;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;Sí;5
MERCADEO;Heriberto Trinidad Marín Baena;986163412;33;No;Rural;M;Soltero;Familia;PUEBLO INDIGENA;No;Sí;3
LICENCIATURA EN EDUCACIÓN INFANTIL;Narciso Jara Cabezas;644532864;45;No;Rural;F;Soltero;Beca;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;No;5
TECNOLOGÍA EN CRIMINALISTICA;Maribel Farré Crespo;966758320;45;No;Rural;M;Casado;Beca;PUEBLO INDIGENA;Sí;No;2
TECNOLOGÍA EN CRIMINALISTICA;Amancio Sierra Benítez;776767188;43;Sí;Urbana;F;Divorciado;Familia;PUEBLO INDIGENA;No;Sí;2
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Amor Zamora Perea;310216209;49;No;Rural;F;Divorciado;Beca;DESPLAZADO;No;No;5
TECNOLOGÍA EN CRIMINALISTICA;Ambrosio Fabra-Donaire;435167055;27;No;Rural;F;Soltero;Recursos Propios;PUEBLO INDIGENA;No;Sí;5
ADMINISTRACIÓN FINANCIERA;Amaya Comas Bustos;612783904;50;Sí;Urbana;F;Divorciado;Recursos Propios;DESPLAZADO;No;No;4
TECNOLOGÍA EN CRIMINALISTICA;Chema Alvarado Castillo;734631391;49;No;Urbana;F;Casado;Familia;COMUNIDAD NEGRA;No;Sí;2
LICENCIATURA EN EDUCACIÓN INFANTIL;Eloy Luque Fábregas;546376596;40;No;Rural;F;Unión Libre;Familia;COMUNIDAD NEGRA;Sí;Sí;1
TECNOLOGÍA EN CRIMINALISTICA;Juan Manuel Josué Pérez Almansa;310397201;50;Sí;Rural;M;Religioso;Familia;DESPLAZADO;Sí;Sí;1
TECNOLOGÍA EN CRIMINALISTICA;Carmen Nilda Santiago Becerra;824277559;38;Sí;Rural;M;Soltero;Beca;DESPLAZADO;Sí;Sí;3
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Javiera del Beltrán;351293919;28;Sí;Urbana;F;Unión Libre;Crédito;REGULAR PREGRADO;Sí;Sí;3
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Eulalia Arrieta Lozano;359721595;43;Sí;Urbana;M;Divorciado;Recursos Propios;PUEBLO INDIGENA;No;Sí;5
